Status,CU,Projects,Description,Impact,July,Aug,Sep,Oct,Nov,Dec,Jan,Beyond
,,"Core Situational Content Page
- Divorce Mediation When One Spouse Is Reluctant (Divorce Mediation - Supporting Text Link)","URL: /divorce-mediation/divorce-mediation-when-one-spouse-is-reluctant/ (new build)
- Situation / Use-Case Brief, 1,100-1,900 words. Tier 3, Wave 1, Priority High.
- Explain voluntary participation, how invitations and neutral outreach work, and realistic options if the other spouse declines.
- Required return link to Divorce Mediation. Internal links: Divorce Mediation; Pricing; How Mediation Works; Free Consultation.
- Placement: compact descriptive text link in the When Divorce Mediation Works and When It May Not module.
Guardrail: explain voluntary participation; do not suggest pressure or coercive tactics.","Serves the single-motivated-spouse searcher, who is the most common inbound profile and the most likely to abandon the process without guidance. Capturing this intent converts a stalled inquiry into a scheduled consult and adds a differentiated page to a suitability cluster competitors treat only as an FAQ line.",,,,,,,4,
,,"Core Process Content Page
- Mediation After Filing for Divorce (Divorce Mediation - Featured H3 Card)","URL: /divorce-mediation/mediation-after-filing-for-divorce/ (new build)
- Process Page Brief, 1,200-2,000 words. Tier 3, Wave 1, Priority High.
- Explain how mediation fits alongside an open case, coordination with deadlines, and how agreements reach the court.
- Required return link to Divorce Mediation. Internal links: Divorce Mediation; Pricing; How Mediation Works; Free Consultation.
- Placement: featured linked H3 card in the How the Divorce Mediation Process Works module.
Guardrail: do not instruct parties to ignore court orders or deadlines. Requires legal review.","Captures searchers who already have an active case and therefore have urgency, a filing date, and budget in motion - the fastest-closing segment in the cluster. It also removes the common misconception that filing forecloses mediation, which currently sends qualified demand to litigation firms.",,,,,,,4,
,,"Core Process Content Page
- Mediation Before Filing for Divorce (Divorce Mediation - Supporting Text Link)","URL: /divorce-mediation/mediation-before-filing-for-divorce/ (new build)
- Process Page Brief, 1,200-2,000 words. Tier 3, Wave 3, Priority Medium.
- Explain pre-filing sequencing, what can be agreed in advance, and how a mediated agreement becomes part of the eventual filing.
- Required return link to Divorce Mediation. Internal links: Divorce Mediation; Pricing; How Mediation Works; Free Consultation.
- Placement: compact descriptive text link in the How the Divorce Mediation Process Works module.
Guardrail: avoid suggesting mediation bypasses legal requirements.","Reaches users at the earliest, cheapest-to-acquire point in the journey, before an attorney relationship forms. Owning pre-filing intent lengthens the relationship window and pairs with the after-filing page to give Google complete timeline coverage for Arizona divorce process queries.",,,,,,,,4
,,"Core Process Content Page
- Mediation With Attorneys Involved (Divorce Mediation - Supporting Text Link)","URL: /divorce-mediation/mediation-with-attorneys-involved/ (new build)
- Process Page Brief, 1,200-2,000 words. Tier 3, Wave 3, Priority Medium.
- Explain attorney-participating formats, review-only counsel, and how the mediator's neutrality is preserved when lawyers attend.
- Required return link to Divorce Mediation. Internal links: Divorce Mediation; Pricing; How Mediation Works; Free Consultation.
- Placement: compact descriptive text link in the How the Divorce Mediation Process Works module.
Guardrail: clarify the mediator remains neutral and attorneys advise their own clients.","Removes the objection that retaining counsel rules out mediation, and positions Aurit as a referral-safe partner for family-law attorneys rather than a competitor. That dual audience creates a natural professional-referral link path in addition to the organic ranking benefit.",,,,,,,,4
,,"Core Situational Content Page
- Mediation for Self-Represented Couples (Divorce Mediation - Supporting Text Link)","URL: /divorce-mediation/mediation-for-self-represented-couples/ (build standalone page from verified partial live coverage)
- Situation / Use-Case Brief, 1,100-1,700 words. Tier 3, Wave 3, Priority High.
- Explain what mediation looks like without attorneys, where legal information stops and legal advice begins, and what independent review is still recommended.
- Required return link to Divorce Mediation. Internal links: Divorce Mediation; How Mediation Works; Legal Information vs Legal Advice in Mediation; Independent Legal Review After Mediation; Court Filing After Mediation in Arizona; Free Consultation.
- Placement: compact descriptive text link in the How the Divorce Mediation Process Works module.
Guardrail: never imply Aurit represents either spouse or replaces independent legal advice.","Aligns with cost-sensitive no-lawyer search intent, one of the largest and least-served query families in Arizona family law. It also anchors the legal-information-versus-advice distinction that protects the firm and reinforces neutrality signals search engines associate with a credible mediation entity.",,,,,,,,4
,,"Core Situational Content Page
- Divorce Mediation With Children (Divorce Mediation - Featured H3 Card)","URL: /divorce-mediation/divorce-mediation-with-children/ (new build)
- Situation / Use-Case Brief, 1,100-1,900 words. Tier 3, Wave 1, Priority High.
- Explain how child-related decisions connect to property and support issues, and how parents keep children out of the negotiation.
- Required return link to Divorce Mediation. Internal links: Child Custody Mediation; Parenting Plan Mediation; Child Support Mediation; Free Consultation.
- Placement: featured linked H3 card in the Divorce Mediation for Parents and Families module.
Guardrail: avoid promising custody outcomes; preserve child-centered neutrality.","Parents with minor children are the highest-value and highest-urgency segment of divorce demand. This page is the bridge asset that carries divorce searchers into the custody, parenting plan, and child support clusters, multiplying the internal link value of three other hubs while ranking for a high-volume qualifier in its own right.",,,,,,,4,
,,"Core Resource Content Page
- Arizona Divorce Mediation for Parents Guide (Divorce Mediation - Supporting Text Link)","URL: /divorce-mediation/arizona-divorce-mediation-for-parents-guide/ (new build)
- Resource / Tool Brief, 1,000-2,500 words plus a downloadable checklist. Tier 4, Wave 6, Priority Medium.
- Assemble an end-to-end parent-facing guide covering preparation, child-focused decision points, and next steps.
- Required return link to Divorce Mediation. Internal links: Divorce Mediation With Children; Pricing; How Mediation Works; Free Consultation.
- Placement: compact descriptive text link in the Divorce Mediation for Parents and Families module.
Guardrail: include neutral legal-information-not-advice disclaimers and links to core service pages.","Long-form guides earn the links and shares that individual service pages cannot, which raises the authority of every page they link to. As a gated or semi-gated asset it also captures contact details from parents who are researching months before they are ready to book, feeding the nurture pipeline.",,,,,,,,5
,,"Core Resource Content Page
- Divorce and Children Resource Hub (Divorce Mediation - Supporting Text Link)","URL: /divorce-mediation/divorce-and-children-resource-hub/ (new build)
- Resource / Tool Brief, 1,000-2,500 words plus curated resource set. Tier 4, Wave 6, Priority Medium.
- Curate age-appropriate explanation guidance, co-parenting tools, counseling referrals, and school communication resources.
- Required return link to Divorce Mediation. Internal links: Divorce Mediation With Children; Pricing; How Mediation Works; Free Consultation.
- Placement: compact descriptive text link in the Divorce Mediation for Parents and Families module.
Guardrail: include neutral legal-information-not-advice disclaimers; avoid clinical or therapeutic claims.","Resource curation attracts informational and citation traffic that pure service pages never reach, and it is the most natural link-earning asset in the divorce cluster. Demonstrating child-first concern also strengthens the experience and trustworthiness signals Google weighs heavily in family-law YMYL assessment.",,,,,,,,5
,,"Live Page V4 Retrofit
- High-Asset Divorce Mediation (Divorce Mediation - Featured H3 Card)","URL: /divorce-mediation/high-asset-divorce-mediation/ - canonical high-asset page for the divorce hub. A High-Net-Worth Divorce Mediation page is already published (ClickUp 86b93344j, marked Complete).
Retrofit and consolidation:
- Confirm which URL is live and canonicalize or 301 the high-net-worth variant into this page. Do not run two competing high-value pages.
- Verify Tier 2 / Wave 1 / Priority Highest depth: 1,100-1,900 words covering privacy, valuation, advisors, and legal or financial review.
- Add or verify the required return link to Divorce Mediation. Internal links: Divorce Mediation; Pricing; How Mediation Works; Free Consultation.
- Keep High-Net-Worth Property Division Mediation as a section-first topic on the Property and Debt Division hub - it is not a second divorce page.
- Placement: featured linked H3 card in the Divorce Mediation for Complex and Unique Situations module.","High-asset queries carry the highest revenue per lead in the practice, and running two near-identical high-value pages currently splits that authority and risks both underperforming. Consolidating to one canonical URL recovers the full signal, and featured-card placement puts the firm's most profitable segment one click from the hub.",,,,2,,,,
,,"Core Situational Content Page
- Amicable Divorce Mediation (Divorce Mediation - Supporting Text Link)","URL: /divorce-mediation/amicable-divorce-mediation/ (new build)
- Situation / Use-Case Brief, 1,100-1,900 words. Tier 3, Wave 1, Priority High.
- Cover the streamlined path for couples who already agree on most issues, and how to protect the agreement without creating conflict.
- Required return link to Divorce Mediation. Internal links: Divorce Mediation; Uncontested Divorce Mediation; Pricing; How Mediation Works; Free Consultation.
- Placement: compact descriptive text link in the Divorce Mediation for Complex and Unique Situations module.
Coordinate scope with Uncontested Divorce Mediation to avoid overlap.","Amicable searchers are the fastest and cheapest matters to close and the most likely to leave a strong review, which compounds local pack performance. The term also signals mediation preference explicitly, making it one of the best-converting non-brand queries available to the firm.",,,,,,,,4
,,"Core Situational Content Page
- Uncontested Divorce Mediation (Divorce Mediation - Supporting Text Link)","URL: /divorce-mediation/uncontested-divorce-mediation/ (new build)
- Situation / Use-Case Brief, 1,100-1,900 words. Tier 3, Wave 1, Priority High.
- Explain what uncontested means procedurally in Arizona, what still must be documented, and how mediation supports a clean filing.
- Required return link to Divorce Mediation. Internal links: Divorce Mediation; Amicable Divorce Mediation; Court Filing After Mediation in Arizona; Pricing; Free Consultation.
- Placement: compact descriptive text link in the Divorce Mediation for Complex and Unique Situations module.
Dependency: coordinate with the /quick-divorce-arizona/ audit and the Divorce Mediation Timeline page before publishing, to prevent a third competing speed and simplicity page.","Uncontested divorce carries substantially higher search volume than most mediation terms and pulls cost-motivated searchers who are already screening out attorneys. Capturing that query with a mediation framing converts a commodity search into a service inquiry, provided the speed-intent cluster is consolidated rather than duplicated.",,,,,,,,4
,,"Live Page V4 Retrofit
- Gray Divorce Mediation (Divorce Mediation - Supporting Text Link)","URL: /divorce-mediation/gray-divorce-mediation/ - page already published (ClickUp 86b81ac3g, marked Complete). Retrofit only, no new draft:
- Add or verify the required return link to the Divorce Mediation hub.
- Add or verify internal links to Gray Divorce Financial Checklist, Spousal Maintenance After Retirement, and Retirement Account Division Mediation.
- Place as a compact descriptive text link in the Divorce Mediation for Complex and Unique Situations module using the exact page title as anchor text.","Wires a published page into both the divorce and the retirement or maintenance clusters, which is where its commercial value actually sits. Cross-cluster linking is how Google recognizes that later-life divorce spans property, pension, and support intent, raising the page's eligibility across all three.",,,1,,,,,
,,"Core Resource Content Page
- Gray Divorce Financial Checklist (Divorce Mediation - Supporting Text Link)","URL: /divorce-mediation/gray-divorce-financial-checklist/ (new build)
- Resource / Tool Brief, 1,000-2,500 words plus downloadable checklist. Tier 3, Wave 6, Priority Medium.
- Cover retirement accounts, pensions, Social Security timing considerations, healthcare coverage, housing, and estate document updates.
- Required return link to Divorce Mediation. Internal links: Gray Divorce Mediation; Retirement Account Division Mediation; Spousal Maintenance After Retirement; Free Consultation.
- Placement: compact descriptive text link in the Divorce Mediation for Complex and Unique Situations module.
Guardrail: include neutral legal-information-not-advice disclaimers; recommend independent financial review. Mediator does not value assets for either party.","Later-life divorce is the fastest-growing segment nationally and the one with the most complex asset profile, which maps directly to Aurit's highest-value service tier. A practical checklist earns links from financial-planning and retirement publications, a link neighborhood the site currently has no presence in.",,,,,,,,5
,,"Live Page V4 Retrofit
- Same-Sex Divorce Mediation (Divorce Mediation - Supporting Text Link)","URL: /divorce-mediation/same-sex-divorce-mediation/ - page already published (ClickUp 86b81ac0f, marked Complete). Retrofit only, no new draft:
- Add or verify the required return link to the Divorce Mediation hub.
- Add or verify internal links to Divorce Mediation, Pricing, How Mediation Works, and Free Consultation.
- Verify parenting and property nuance has had expert review; avoid tokenism.
- Place as a compact descriptive text link in the Divorce Mediation for Complex and Unique Situations module using the exact page title as anchor text.
Note: Divorce Mediation for LGBTQ+ Parents stays as an unlinked on-hub H3/H4 topic in the Parents and Families module - it does not become a second URL.",Ensures an existing differentiated page is actually reachable and credited from the hub. Holding the LGBTQ+ parenting angle as on-hub content rather than a second URL prevents two thin pages from competing for one small query family while still covering the parentage and rights nuance AI systems treat as a distinct cluster.,,,1,,,,,
,,"Core Situational Content Page
- Military Divorce Mediation (Divorce Mediation - Supporting Text Link)","URL: /divorce-mediation/military-divorce-mediation/ (new build)
- Situation / Use-Case Brief, 1,100-1,900 words. Tier 4, Wave 7, Priority Medium.
- Cover residency and jurisdiction, deployment scheduling, the USFSPA framework at a general level, TRICARE continuity, and remote participation.
- Required return link to Divorce Mediation. Internal links: Divorce Mediation; Online Divorce Mediation; Pricing; How Mediation Works; Free Consultation.
- Placement: compact descriptive text link in the Divorce Mediation for Complex and Unique Situations module.
Guardrail: use careful jurisdiction, benefits, pension, and deployment language. Requires legal review.","Arizona's military population around Luke Air Force Base, Davis-Monthan, and Fort Huachuca creates geo-qualified demand no local mediation competitor addresses in depth. Deployment schedules also make this audience unusually well suited to Aurit's online model, so the page reinforces the virtual service line as well as the divorce cluster.",,,,,,,,4
,,"Core Resource Content Page
- Arizona Divorce Mediation Guide (Divorce Mediation - Featured H3 Card)","URL: /divorce-mediation/arizona-divorce-mediation-guide/ (new build)
- Resource / Tool Brief, 1,000-2,500 words plus checklist. Tier 3, Wave 1, Priority High.
- Definitive Arizona-specific walkthrough: process, timing, cost ranges, documentation, filing, and what happens after agreement.
- Required return link to Divorce Mediation. Internal links: Divorce Mediation; Pricing; How Mediation Works; Court Filing After Mediation in Arizona; Free Consultation.
- Placement: featured linked H3 card in the Arizona Divorce Mediation Guides, Checklists, and FAQs module.
Guardrail: include neutral legal-information-not-advice disclaimers and links to core service pages.","The most citable asset in the cluster and the page most likely to be pulled into AI overviews for broad Arizona divorce mediation questions, because comprehensive state-specific guides are what those systems prefer to summarize. It also functions as the primary link target for guest posts and niche edits, concentrating acquired authority where it can flow to every child page.",,,,,,,,5
,,"Core Resource Content Page
- Questions to Ask a Divorce Mediator (Divorce Mediation - Supporting Text Link)","URL: /divorce-mediation/questions-to-ask-a-divorce-mediator/ (new build)
- Resource / Tool Brief, 1,000-2,500 words plus printable question list. Tier 4, Wave 6, Priority High.
- Provide vetting questions covering credentials, neutrality, process, fees, and what happens if talks stall.
- Required return link to Divorce Mediation. Internal links: Is Divorce Mediation Right for Us?; Pricing; How Mediation Works; Free Consultation.
- Placement: compact descriptive text link in the Arizona Divorce Mediation Guides, Checklists, and FAQs module.
Guardrail: do not target competitor names unfairly. Consolidate the duplicate alias record into this URL.","Reaches prospects at the provider-selection stage, the last decision before contact, and lets Aurit frame the evaluation criteria on which it is strongest. Publishing the vetting standard rather than a sales pitch is a durable trust signal and typically produces above-average assisted conversions.",,,,,,,,5
