Brief Identity,,,,,,,"Audience, Trigger & AI Intent",,,,,,,Writer Instructions & Scope,,,,,,"Cannibalization, Planned Support & Linking"
Plan ID,Core Authority Page,Core URL,Priority,Content Type,Evergreen Working Title / H1,Suggested URL,Primary Target Audience,Secondary Audience,Journey Stage,User Trigger / Problem,Primary Conversational AI Query,Supporting AI Queries,Primary Search / AI Intent,Required Opening Answer Direction,Answer Promise / Writing Objective,Recommended H2 Outline,Must Cover,Must Not Cover,Explicit Cannibalization Boundary,Closest Planned Page (Automated QA),Closest Planned URL (Automated QA),Planned Lexical Similarity (QA Only),Exact Planned Title Match?,Planned Pages Supported,Primary Internal Link
P-01,Parenting Plan Mediation,/parenting-plan-mediation/,P1,Schedule scenario guide,Parenting Plans for Rotating Shifts and Irregular Work Schedules,/parenting-plan-mediation/parenting-plans-for-shift-work/,"Arizona parents who work rotating, overnight, on-call, gig, airline, healthcare, fire, law-enforcement, or other nonstandard schedules",Co-parents where one household has a stable schedule and the other changes weekly or monthly,Mid- to bottom-funnel / schedule design,"Standard parenting schedules do not fit the parents' real work patterns, creating repeated swaps, uncertainty, and child-care conflict.",How do we create a parenting plan when a parent works rotating shifts?,"What schedule works for nurses, firefighters, pilots, or first responders?
Can a parenting plan use monthly work schedules?
How do on-call shifts affect parenting time?
Should we include backup care and right of first refusal?",Customized parenting-schedule design,"Open with a 50–75 word direct answer to: “How do we create a parenting plan when a parent works rotating shifts?” Then give parents a practical framework for building predictability around variable work without making the child responsible for constant schedule changes.. State the main limitation, condition, or expert boundary immediately. Do not begin with a generic definition of divorce or mediation.",Give parents a practical framework for building predictability around variable work without making the child responsible for constant schedule changes.,"Why standard schedules fail for shift workers
Fixed anchors that protect the child's routine
Primary schedule plus monthly adjustment process
How and when work schedules are exchanged
Minimum notice and response deadlines
Backup care and right of first refusal
Overnights, school mornings, and transportation
Missed time and make-up rules
Holiday and vacation priority
When the schedule should be reviewed","Child-centered predictability
Notice deadlines
A clear hierarchy when schedules conflict
Limits on repeated changes
Transportation and child-care responsibilities
Examples of workable models","A general parenting-time schedule comparison
A complete right-of-first-refusal guide
Employment-law advice
Claims that one schedule fits all shift workers",Own variable-work schedule architecture. Parenting Time Schedule Mediation owns standard schedules; Parenting Schedules by Child Age owns developmental fit; Exchange and Transportation remains a narrow FAQ.,#161 Parenting Schedules by Child Age,/parenting-plan-mediation/parenting-schedules-by-child-age/,0.232,No,"#7 Parenting Plan Mediation | /parenting-plan-mediation/
#77 Parenting Time Schedule Mediation | /parenting-plan-mediation/parenting-time-schedule-mediation/
#161 Parenting Schedules by Child Age | /parenting-plan-mediation/parenting-schedules-by-child-age/
#227 Exchange and Transportation Mediation | No standalone URL — include as FAQ on /parenting-plan-mediation/",Parenting Plan Mediation | /parenting-plan-mediation/
P-02,Parenting Plan Mediation,/parenting-plan-mediation/,P0,Digital parenting clause guide,"Location Sharing, Smartwatches, and Digital Tracking Rules for Co-Parents",/parenting-plan-mediation/location-sharing-digital-tracking-rules/,"Arizona co-parents whose child uses a phone, smartwatch, AirTag, family-location app, or other tracking technology",High-conflict parents who disagree about monitoring during the other parent's time,Mid-funnel / emerging technology conflict,"Digital tracking creates privacy, control, and safety concerns that traditional parenting plans often do not address.",Should a parenting plan include rules for location sharing and child-tracking devices?,"Can one parent track a child during the other parent's time?
Who controls a child's smartwatch location settings?
Can a parent put an AirTag in the child's belongings?
How should geofencing and safety alerts work?",Technology-boundary and agreement design,"Open with a 50–75 word direct answer to: “Should a parenting plan include rules for location sharing and child-tracking devices?” Then help parents create child-focused, privacy-conscious rules for location data, device ownership, emergency use, and access without turning tracking into surveillance.. State the main limitation, condition, or expert boundary immediately. Do not begin with a generic definition of divorce or mediation.","Help parents create child-focused, privacy-conscious rules for location data, device ownership, emergency use, and access without turning tracking into surveillance.","Common child-tracking technologies
The child-safety purpose vs adult surveillance
Who owns and administers the device
When location sharing is on or off
Access during each parent's time
Emergency and travel exceptions
Notifications and geofencing
Data retention and screenshots
New devices and software updates
What to do when tracking is misused
Reviewing rules as the child matures","Device and account ownership
Consent and transparency
Child age and maturity
Emergency exceptions
Privacy and coercive-control cautions
A clear dispute-resolution process","How to secretly track another adult
Domestic violence safety planning beyond referral
General co-parent communication rules
A complete child-phone agreement
Legal claims about privacy without review",Own location and tracking technology. Co-Parent Communication owns adult communication; Parenting App content owns message/document tools; Phone Contact owns child communications rather than location monitoring.,#230 Right of First Refusal in Parenting Plans,No standalone URL — include as FAQ on /parenting-plan-mediation/,0.129,No,"#7 Parenting Plan Mediation | /parenting-plan-mediation/
#121 Co-Parent Communication Mediation | /child-custody-mediation/co-parent-communication-mediation/
#48 Parallel Parenting Mediation | /parenting-plan-mediation/parallel-parenting-mediation/
#216 Parenting App and Communication Protocol Mediation | No standalone URL — include as section on /post-decree-mediation/",Parenting Plan Mediation | /parenting-plan-mediation/
P-03,Parenting Plan Mediation,/parenting-plan-mediation/,P1,Specialized child-needs guide,Parenting Plans for Children With Special Needs or Neurodivergence,/parenting-plan-mediation/special-needs-neurodivergent-children/,"Arizona co-parents raising a child with autism, ADHD, developmental differences, chronic illness, sensory needs, or complex care requirements","Parents who agree on the child's diagnosis but struggle with consistent routines, services, equipment, or transitions",Mid- to bottom-funnel / specialized plan design,"A generic parenting plan does not address the child's treatment, educational, sensory, communication, and transition needs across two homes.",How should a parenting plan address a child's special needs or neurodivergence?,"How do parents coordinate therapy and IEP meetings?
What schedule works for an autistic child?
How should medication and equipment move between homes?
What information should both households share?",Specialized parenting-plan design,"Open with a 50–75 word direct answer to: “How should a parenting plan address a child's special needs or neurodivergence?” Then provide a detailed planning framework that supports continuity of care and respects the child's individual needs without giving medical or therapeutic advice.. State the main limitation, condition, or expert boundary immediately. Do not begin with a generic definition of divorce or mediation.",Provide a detailed planning framework that supports continuity of care and respects the child's individual needs without giving medical or therapeutic advice.,"Start with the child's actual support needs
Routines, transitions, and sensory considerations
School services, IEPs, and provider coordination
Medication, equipment, and supplies
Communication methods and behavioral plans
Transportation and appointment responsibilities
Training for both households and caregivers
Emergency and crisis information
Expense allocation and records
Respite, backup care, and right of first refusal
Review schedule as needs change","Child-specific rather than diagnosis-generalized planning
Consistency across homes
Qualified provider input
Access to records and instructions
Emergency information
Caregiver competence and backup plans","Diagnosis or treatment recommendations
A general age-based schedule page
Disability-benefit advice
The full divorce impact of a disabled spouse or child
Assumptions that one schedule is best for every diagnosis",Own operational parenting-plan details for the child's special needs. Parenting Schedules by Child Age owns broad developmental stages; School/Medical Decision-Making owns authority; Disabled Spouse or Child owns whole-case divorce complexity.,#79 Parenting Plan Checklist,/parenting-plan-mediation/parenting-plan-checklist/,0.288,No,"#7 Parenting Plan Mediation | /parenting-plan-mediation/
#161 Parenting Schedules by Child Age | /parenting-plan-mediation/parenting-schedules-by-child-age/
#157 Decision-Making for School and Medical Issues | /child-custody-mediation/decision-making-for-school-and-medical-issues/
#187 Divorce Mediation With a Disabled Spouse or Child | /divorce-mediation/divorce-mediation-with-a-disabled-spouse-or-child/",Parenting Plan Mediation | /parenting-plan-mediation/
P-04,Parenting Plan Mediation,/parenting-plan-mediation/,P1,Travel clause guide,"Passports, International Travel, and Vacation Clauses in Parenting Plans",/parenting-plan-mediation/passports-international-travel-clauses/,Arizona co-parents planning international travel with a minor child,Parents drafting a plan before either household has booked a major trip,Mid- to bottom-funnel / agreement design,"Unclear passport control, consent, notice, itinerary, and document rules can derail travel or create mistrust.",What passport and international travel terms should be in a parenting plan?,"Who keeps the child's passport after divorce?
How much notice should a parent give for international travel?
What documents are needed to travel with a child?
Can a parenting plan require written consent?",Travel-planning and clause design,"Open with a 50–75 word direct answer to: “What passport and international travel terms should be in a parenting plan?” Then give parents a practical checklist for passport applications, possession, consent, notice, itineraries, emergencies, and return obligations.. State the main limitation, condition, or expert boundary immediately. Do not begin with a generic definition of divorce or mediation.","Give parents a practical checklist for passport applications, possession, consent, notice, itineraries, emergencies, and return obligations.","Passport application basics for children
Who holds the passport and how access is requested
Advance notice and consent process
Required itinerary and contact information
Travel insurance and medical documents
Destination and safety concerns
School-calendar and holiday coordination
Costs and missed parenting time
Emergency changes and delayed return
International travel vs permanent relocation
Reviewing terms as the child ages","Official passport requirements
Clear possession and release process
Notice deadlines
Consent method
Emergency contacts
Travel-document security","International child-abduction litigation
Permanent relocation law
Destination-specific visa advice
A generic holiday schedule guide
Claims that one parent's consent is always or never required",Own temporary international travel logistics. Long-Distance Parenting owns ongoing distance; Interstate Parenting owns domestic cross-state plans; Relocation owns a permanent move; Holiday Schedule owns calendar allocation.,#230 Right of First Refusal in Parenting Plans,No standalone URL — include as FAQ on /parenting-plan-mediation/,0.120,No,"#7 Parenting Plan Mediation | /parenting-plan-mediation/
#124 Long-Distance Parenting Plan Mediation | /parenting-plan-mediation/long-distance-parenting-plan-mediation/
#194 Interstate Parenting Plan Mediation | /parenting-plan-mediation/interstate-parenting-plan-mediation/
#123 Holiday Schedule Mediation | /parenting-plan-mediation/holiday-schedule-mediation/",Parenting Plan Mediation | /parenting-plan-mediation/
P-05,Parenting Plan Mediation,/parenting-plan-mediation/,P1,Teen life-stage guide,"Parenting Plans for Teenagers With Jobs, Cars, and Changing Schedules",/parenting-plan-mediation/parenting-plans-for-teenagers/,"Arizona co-parents of teenagers balancing school, work, driving, sports, friendships, and increasing independence",Parents considering a schedule modification because the original plan no longer fits the teen's life,Mid-funnel / life-stage update,The parenting plan was built for a younger child and now produces conflict or impractical transitions.,"How should a parenting plan change when a teenager has a job, car, or changing schedule?","How do parents handle teen driving between homes?
What if work conflicts with parenting time?
How should sports and dating affect the schedule?
Can a teenager have more flexibility without choosing the custody plan?",Age-specific plan design,"Open with a 50–75 word direct answer to: “How should a parenting plan change when a teenager has a job, car, or changing schedule?” Then show how to increase practical flexibility while preserving parental responsibility, predictability, safety, and meaningful relationships.. State the main limitation, condition, or expert boundary immediately. Do not begin with a generic definition of divorce or mediation.","Show how to increase practical flexibility while preserving parental responsibility, predictability, safety, and meaningful relationships.","Why adolescence changes schedule needs
School, activities, work, and sleep
Driving, vehicles, insurance, and transportation expectations
Teen input without placing the decision on the teen
Flexible time vs a completely optional schedule
Communication and curfews across homes
Expenses, phones, and work income
Travel and social events
Consequences and household differences
Reviewing the plan before graduation","Age and maturity
Clear minimum expectations
Driving and transport responsibilities
How changes are communicated
Maintaining both parent-child relationships
Future review date","A general 'child can choose' article
Legal driving advice
Generic parenting schedules for all ages
Post-decree modification procedure as the main topic",Own teen-specific logistics. Parenting Schedules by Child Age owns the broad age comparison; Parenting Plan Modification owns the process of formally changing the plan.,#79 Parenting Plan Checklist,/parenting-plan-mediation/parenting-plan-checklist/,0.265,No,"#7 Parenting Plan Mediation | /parenting-plan-mediation/
#161 Parenting Schedules by Child Age | /parenting-plan-mediation/parenting-schedules-by-child-age/
#228 Extracurricular Activity Dispute Mediation | No standalone URL — include as FAQ on /parenting-plan-mediation/
#227 Exchange and Transportation Mediation | No standalone URL — include as FAQ on /parenting-plan-mediation/",Parenting Plan Mediation | /parenting-plan-mediation/
P-06,Parenting Plan Mediation,/parenting-plan-mediation/,P0,AI drafting safety guide,Can AI Help Draft an Arizona Parenting Plan?,/parenting-plan-mediation/can-ai-draft-a-parenting-plan/,Arizona parents using ChatGPT or another AI tool to draft parenting-plan language,Self-represented parents looking for a fast template before mediation,Top- to mid-funnel / emerging behavior,AI can produce polished but generic or legally incomplete language that does not reflect the child's needs or Arizona requirements.,Can ChatGPT draft an Arizona parenting plan?,"What can AI safely help organize in a parenting plan?
What clauses should not be copied from AI?
How do we verify an AI-generated plan against Arizona requirements?
Is an AI parenting plan court-ready?","AI safety, drafting limits, and verification","Open with a 50–75 word direct answer to: “Can ChatGPT draft an Arizona parenting plan?” Then teach readers to use AI for brainstorming and organization only, then verify required topics, privacy, child-specific details, and legal sufficiency.. State the main limitation, condition, or expert boundary immediately. Do not begin with a generic definition of divorce or mediation.","Teach readers to use AI for brainstorming and organization only, then verify required topics, privacy, child-specific details, and legal sufficiency.","What AI can do well
What AI cannot know about the family
Arizona parenting-plan topics that must be addressed
Privacy risks when entering child information
Common AI drafting failures
How to compare output with the verified checklist and template
How to remove vague or conflicting clauses
When legal review is needed
A safe prompt pattern using fictional placeholders
Final human verification workflow","Privacy and data minimization
Arizona statutory requirements at a high level
Child-specific customization
Internal consistency
Clear decision, schedule, and dispute procedures
Verification against Aurit's planned template/checklist","Publishing a complete AI-generated legal document
Guaranteeing court acceptance
A full parenting-plan template
Case-specific legal advice
Encouraging users to paste sensitive child or medical information",Own AI-assisted drafting limits. Parenting Plan Template owns the actual structured template; Parenting Plan Checklist owns required subjects; Legal Information vs Legal Advice owns professional boundaries.,#79 Parenting Plan Checklist,/parenting-plan-mediation/parenting-plan-checklist/,0.188,No,"#7 Parenting Plan Mediation | /parenting-plan-mediation/
#193 Parenting Plan Template | /parenting-plan-mediation/parenting-plan-template/
#79 Parenting Plan Checklist | /parenting-plan-mediation/parenting-plan-checklist/
#119 Legal Information vs Legal Advice in Mediation | /how-mediation-works/legal-information-vs-legal-advice-in-mediation/",Parenting Plan Mediation | /parenting-plan-mediation/
P-07,Parenting Plan Mediation,/parenting-plan-mediation/,P1,Communication clause guide,"Phone, Text, and Video Contact With a Child During the Other Parent's Time",/parenting-plan-mediation/child-phone-video-contact/,"Arizona co-parents who disagree about calls, texts, FaceTime, device access, or interruptions during the other household's parenting time",Parents of children receiving their first phone or tablet,Mid-funnel / agreement design,"Contact intended to maintain connection is becoming intrusive, inconsistent, or controlled by one household.",How should a parenting plan handle phone and video contact with the child?,"Can I call my child during the other parent's time?
How often should a child FaceTime the other parent?
Can a parent take away the child's phone?
Should calls be private?",Child communication protocol,"Open with a 50–75 word direct answer to: “How should a parenting plan handle phone and video contact with the child?” Then help parents define reasonable, age-appropriate contact that supports relationships without undermining the child's time, routine, or privacy.. State the main limitation, condition, or expert boundary immediately. Do not begin with a generic definition of divorce or mediation.","Help parents define reasonable, age-appropriate contact that supports relationships without undermining the child's time, routine, or privacy.","Purpose of off-duty parent contact
Child age and access to devices
Frequency, duration, and reasonable windows
Child-initiated vs parent-initiated contact
Privacy and supervision
Homework, bedtime, travel, and activities
Device restrictions and discipline
Missed calls and response expectations
Long-distance and deployment exceptions
Reviewing rules as the child matures","Reasonable access without constant interruption
Child's routine and preference
Device ownership and payment
Privacy and safety limits
Clear expectations rather than vague 'reasonable contact' alone","Adult co-parent messaging
Location tracking
General communication conflict
Domestic-violence safety planning
A full long-distance parenting guide","Own child-to-parent calls, texts, and video contact. Co-Parent Communication owns adult-to-adult communication; Location Sharing owns tracking; Long-Distance Parenting owns the full remote relationship plan.",#79 Parenting Plan Checklist,/parenting-plan-mediation/parenting-plan-checklist/,0.097,No,"#7 Parenting Plan Mediation | /parenting-plan-mediation/
#121 Co-Parent Communication Mediation | /child-custody-mediation/co-parent-communication-mediation/
#124 Long-Distance Parenting Plan Mediation | /parenting-plan-mediation/long-distance-parenting-plan-mediation/
#216 Parenting App and Communication Protocol Mediation | No standalone URL — include as section on /post-decree-mediation/",Parenting Plan Mediation | /parenting-plan-mediation/
P-08,Parenting Plan Mediation,/parenting-plan-mediation/,P2,School logistics guide,"Homework, School Materials, and Forgotten-Item Rules Between Two Homes",/parenting-plan-mediation/homework-school-materials-two-homes/,"Arizona co-parents whose child regularly forgets homework, uniforms, medication, instruments, sports gear, or devices between homes",Parents of school-age children with frequent exchanges,Mid-funnel / recurring operational conflict,"Small school-logistics failures are creating repeated blame, extra driving, missed assignments, and child stress.",What should a parenting plan say about homework and school materials between two homes?,"Who is responsible for forgotten school items?
Should each home keep duplicate supplies?
How do parents share homework and school notices?
What if an item is left at the other house?",Operational parenting-plan design,"Open with a 50–75 word direct answer to: “What should a parenting plan say about homework and school materials between two homes?” Then create a practical two-home system for schoolwork, essential items, information, responsibility, and age-appropriate child participation.. State the main limitation, condition, or expert boundary immediately. Do not begin with a generic definition of divorce or mediation.","Create a practical two-home system for schoolwork, essential items, information, responsibility, and age-appropriate child participation.","Identify essential vs replaceable items
Duplicate supplies and shared costs
School portal and calendar access
Backpack and exchange checklists
Responsibility for retrieval and transport
Homework completion and communication
Uniforms, instruments, devices, and medication
Age-appropriate child responsibility
What not to use as leverage
Reviewing the system each school year","Child-centered rather than blame-centered approach
Duplicate-item strategy
Clear retrieval limits
School portal access
Emergency/essential exceptions
Age-appropriate responsibility","General school choice
Legal decision-making authority
Broad exchange and transportation planning
Punishment or withholding items",Own day-to-day school-material logistics. School Choice owns school selection; Records Access owns formal records; Exchange and Transportation owns overall transfers.,#79 Parenting Plan Checklist,/parenting-plan-mediation/parenting-plan-checklist/,0.174,No,"#7 Parenting Plan Mediation | /parenting-plan-mediation/
#157 Decision-Making for School and Medical Issues | /child-custody-mediation/decision-making-for-school-and-medical-issues/
#121 Co-Parent Communication Mediation | /child-custody-mediation/co-parent-communication-mediation/
#227 Exchange and Transportation Mediation | No standalone URL — include as FAQ on /parenting-plan-mediation/",Parenting Plan Mediation | /parenting-plan-mediation/
P-09,Parenting Plan Mediation,/parenting-plan-mediation/,P1,Infant schedule guide,"Parenting Plans for Infants, Feeding, and Early Attachment",/parenting-plan-mediation/infant-feeding-parenting-plans/,Arizona parents of newborns and infants creating a first parenting plan,Expectant or unmarried parents planning schedules before or shortly after birth,Mid- to bottom-funnel / specialized schedule design,"Standard alternating schedules may not reflect feeding, sleep, caregiver familiarity, postpartum recovery, or rapid developmental change.",How should parents create a parenting plan for an infant?,"What parenting schedule works for a newborn?
How does breastfeeding affect parenting time?
Should infants have overnight visits?
How often should an infant parenting plan be reviewed?",Infant-specific parenting-plan design,"Open with a 50–75 word direct answer to: “How should parents create a parenting plan for an infant?” Then provide a developmentally cautious planning framework focused on frequent contact, predictable care, feeding, sleep, transition, and staged review.. State the main limitation, condition, or expert boundary immediately. Do not begin with a generic definition of divorce or mediation.","Provide a developmentally cautious planning framework focused on frequent contact, predictable care, feeding, sleep, transition, and staged review.","Why infant plans require frequent review
Child's age, temperament, and caregiver history
Feeding method and practical support
Sleep and routine information
Frequency vs duration of contact
Overnights and gradual transitions
Transportation and supplies
Parent communication and care logs
Postpartum and medical considerations
Milestone-based review schedule
When child-development or medical input is needed","No universal schedule
Child-specific information
Both parents' meaningful involvement
Feeding logistics without treating feeding as ownership
Frequent review as development changes
Medical/child-development boundaries","Medical or lactation advice
A broad age-based schedule comparison
Assumptions about overnights
Pregnancy or parentage law
A complete unmarried-parent service page",Own infant and feeding logistics. Parenting Schedules by Child Age owns broad age bands; Parenting Agreements Before Birth remains an FAQ; Unmarried Parents owns that audience/service.,#79 Parenting Plan Checklist,/parenting-plan-mediation/parenting-plan-checklist/,0.220,No,"#7 Parenting Plan Mediation | /parenting-plan-mediation/
#161 Parenting Schedules by Child Age | /parenting-plan-mediation/parenting-schedules-by-child-age/
#218 Parenting Agreements Before a Child Is Born | No standalone URL — include as FAQ on /parenting-plan-mediation/
#14 Mediation for Unmarried Parents | /parenting-plan-mediation/unmarried-parents-mediation/",Parenting Plan Mediation | /parenting-plan-mediation/
P-10,Parenting Plan Mediation,/parenting-plan-mediation/,P1,Caregiver clause guide,"Babysitters, Third-Party Caregivers, and Sleepover Rules in a Parenting Plan",/parenting-plan-mediation/babysitters-caregivers-sleepovers/,"Arizona co-parents who disagree about babysitters, relatives, overnight guests, camps, or third-party care",Parents deciding how right of first refusal should interact with ordinary childcare,Mid-funnel / agreement design,Parents need practical boundaries without using childcare rules to control the other household.,What should a parenting plan say about babysitters and third-party caregivers?,"Should parents approve babysitters?
When does right of first refusal apply?
Can grandparents or a new partner provide childcare?
Should the plan address sleepovers?",Third-party care protocol,"Open with a 50–75 word direct answer to: “What should a parenting plan say about babysitters and third-party caregivers?” Then help parents distinguish ordinary parenting discretion from decisions that require notice, consent, or an offer to the other parent.. State the main limitation, condition, or expert boundary immediately. Do not begin with a generic definition of divorce or mediation.","Help parents distinguish ordinary parenting discretion from decisions that require notice, consent, or an offer to the other parent.","Types of third-party care
When notice is reasonable
Caregiver qualifications and emergency information
Relatives, new partners, and regular caregivers
Right of first refusal thresholds
Sleepovers, camps, and overnight care
Transportation and car seats
Medical and allergy instructions
Background checks and privacy
How to avoid using the clause for control
Review as the child ages","Clear time thresholds
Emergency exceptions
Known caregiver information
Safety requirements
Difference between approval and notice
Interaction with right of first refusal","A full right-of-first-refusal article
New-partner introduction as the main topic
Childcare licensing advice
Control over ordinary household decisions
Unsupported background-check requirements",Own third-party caregiver rules. Right of First Refusal remains a narrow FAQ; Co-Parent Communication owns notice behavior; New partner content stays separate.,#79 Parenting Plan Checklist,/parenting-plan-mediation/parenting-plan-checklist/,0.189,No,"#7 Parenting Plan Mediation | /parenting-plan-mediation/
#230 Right of First Refusal in Parenting Plans | No standalone URL — include as FAQ on /parenting-plan-mediation/
#121 Co-Parent Communication Mediation | /child-custody-mediation/co-parent-communication-mediation/
#79 Parenting Plan Checklist | /parenting-plan-mediation/parenting-plan-checklist/",Parenting Plan Mediation | /parenting-plan-mediation/
CS-01,Child Support Mediation,/child-support-mediation/,P0,Calculation scenario guide,How Child Support Works With 50/50 Parenting Time in Arizona,/child-support-mediation/child-support-with-50-50-parenting-time/,Arizona parents considering or already using equal parenting time who assume no support will be owed,Parents using the Arizona calculator and getting an unexpected result,Mid- to bottom-funnel / calculation understanding,The parents need to understand why equal overnights do not automatically equal zero support and which other inputs drive the calculation.,How does child support work with 50/50 parenting time in Arizona?,"Does equal parenting time eliminate child support?
Who pays child support when overnights are equal?
How do income differences affect a 50/50 schedule?
Do childcare and health insurance still matter?",Scenario-specific calculation explanation,"Open with a 50–75 word direct answer to: “How does child support work with 50/50 parenting time in Arizona?” Then correct the zero-support misconception and explain the interaction among parenting time, income, medical insurance, childcare, and other guideline inputs.. State the main limitation, condition, or expert boundary immediately. Do not begin with a generic definition of divorce or mediation.","Correct the zero-support misconception and explain the interaction among parenting time, income, medical insurance, childcare, and other guideline inputs.","What 50/50 parenting time means for the calculation
Why equal time does not guarantee a zero result
Income differences
Parenting-time adjustment
Health insurance and cash medical support
Childcare and education-related costs
Other children and support orders
Deviations from the guideline result
Using the official calculator
What parents can discuss in mediation","Current guideline framework
Illustrative examples without promising an amount
Difference between parenting schedule and support obligation
Need for verified inputs
Calculator limitations","A full child-support calculator tutorial
A general parenting-time schedule guide
A promise of zero support
Case-specific estimates without verified facts
Tax-dependent allocation",Own the equal-time scenario. Using the Arizona Calculator owns tool operation; Calculation Prep owns documents; Deviating from Guidelines owns departures from the result.,#81 Child Support Calculation Prep for Mediation,/child-support-mediation/child-support-calculation-prep-for-mediation/,0.203,No,"#8 Child Support Mediation | /child-support-mediation/
#82 Using the Arizona Child Support Calculator in Mediation | /child-support-mediation/using-the-arizona-child-support-calculator-in-mediation/
#81 Child Support Calculation Prep for Mediation | /child-support-mediation/child-support-calculation-prep-for-mediation/
#233 Deviating From Child Support Guidelines in Mediation | No standalone URL — include as FAQ on /child-support-mediation/",Child Support Mediation | /child-support-mediation/
CS-02,Child Support Mediation,/child-support-mediation/,P1,Current-law Q&A,Can Arizona Child Support Be Ordered Retroactively?,/child-support-mediation/retroactive-child-support-arizona/,"Arizona parents establishing support for the first time, especially unmarried parents","Parents confused about the difference between past support, arrears, and modification effective dates",Mid-funnel / legal clarification,The parent wants to know whether support can cover a period before the current order and how far back the analysis may reach.,Can child support be ordered retroactively in Arizona?,"How far back can Arizona child support go?
Is retroactive support the same as arrears?
How does past support work for unmarried parents?
Can a child-support modification be retroactive?",Legal distinction and process orientation,"Open with a 50–75 word direct answer to: “Can child support be ordered retroactively in Arizona?” Then explain the different meanings of past support, arrears, and modification effective dates without giving a case-specific lookback conclusion.. State the main limitation, condition, or expert boundary immediately. Do not begin with a generic definition of divorce or mediation.","Explain the different meanings of past support, arrears, and modification effective dates without giving a case-specific lookback conclusion.","Retroactive initial support vs unpaid ordered support
Past support in parentage cases
Support from filing to the current order
General statutory limits and good-cause considerations
Pregnancy and birth-related costs where applicable
Documentation of prior support paid
Modification effective dates
How mediation can address verified past amounts
When legal advice is essential","A.R.S. §25-809 and §25-503 distinctions
Documentation and credit for prior payments
Unmarried-parent context
No blanket answer for every case","Enforcement remedies
A full arrears article
A universal three-year promise without context
Paternity fraud or contested parentage
Case-specific legal advice",Own retroactive initial support. Arrears remains a section on the core page; Modification Mediation owns changing an existing order; Unmarried Parents owns the audience/service.,#82 Using the Arizona Child Support Calculator in Mediation,/child-support-mediation/using-the-arizona-child-support-calculator-in-mediation/,0.202,No,"#8 Child Support Mediation | /child-support-mediation/
#80 Child Support for Unmarried Parents Mediation | /child-support-mediation/child-support-for-unmarried-parents-mediation/
#212 Child Support Arrears Discussion in Mediation | No standalone URL — include as section on /child-support-mediation/
#81 Child Support Calculation Prep for Mediation | /child-support-mediation/child-support-calculation-prep-for-mediation/",Child Support Mediation | /child-support-mediation/
CS-03,Child Support Mediation,/child-support-mediation/,P1,Tax coordination guide,Who Claims a Child on Taxes After Divorce or Separation?,/child-support-mediation/who-claims-child-on-taxes/,Arizona parents negotiating child support and parenting terms who are unsure who may claim the child,"Parents with equal parenting time, multiple children, alternating-year proposals, or Form 8332 questions",Mid- to bottom-funnel / financial agreement,The parents are treating the dependency claim as part of child support but may misunderstand federal tax rules.,Who claims a child on taxes after divorce or separation?,"Can parents alternate the child tax credit?
What is IRS Form 8332?
Does 50/50 parenting time decide who claims the child?
Can a divorce agreement control the IRS?",Federal tax clarification + mediation planning,"Open with a 50–75 word direct answer to: “Who claims a child on taxes after divorce or separation?” Then explain the federal baseline, what parents can coordinate, and why tax review is needed before writing an allocation into an agreement.. State the main limitation, condition, or expert boundary immediately. Do not begin with a generic definition of divorce or mediation.","Explain the federal baseline, what parents can coordinate, and why tax review is needed before writing an allocation into an agreement.","Why federal tax rules control eligibility
Custodial and noncustodial parent concepts for tax purposes
Form 8332 and release of claim
Alternating years and multiple children
Tie-breaker rules
Child tax credit and other tax benefits at a high level
Interaction with parenting time and support
What can be documented in mediation
Verification before filing
What happens when circumstances change","Federal-vs-state distinction
Form 8332
Need to verify current credits and eligibility
Clear examples of allocation structures
Tax-professional boundary","Individual tax advice
Calculating a tax return
A general child-support calculation article
College tax benefits
Promises that a decree overrides IRS rules",Own tax-dependent allocation. Child Support Mediation owns support negotiation; Parenting Plan owns schedules; Post-Decree owns later changes; tax-refund division remains a Property topic.,#80 Child Support for Unmarried Parents Mediation,/child-support-mediation/child-support-for-unmarried-parents-mediation/,0.133,No,"#8 Child Support Mediation | /child-support-mediation/
#7 Parenting Plan Mediation | /parenting-plan-mediation/
#80 Child Support for Unmarried Parents Mediation | /child-support-mediation/child-support-for-unmarried-parents-mediation/
#138 Updating Agreements After Divorce | /post-decree-mediation/updating-agreements-after-divorce/",Child Support Mediation | /child-support-mediation/
