
Hub,H2 / Section,Page or Asset,Coverage,Best Current Live URL,Action,Optimize?,What to Change,Final URL,Old URL(s) to Redirect,Why This URL,Live Card Exists?
Child Support Mediation,"Childcare, Medical, and Other Child Expense Mediation",Daycare and Childcare Expense Mediation,N/A — on-hub only,N/A — no outbound destination required,Keep as-is,No,"Keep this topic on the parent hub. If the live design makes it look clickable, remove the external-link treatment rather than forcing a weak destination.",N/A — no outbound destination required,N/A — URL decisions stay in Stage 3,The approved structure treats this as on-hub information. An outbound page is optional only when a later destination clearly earns the link.,Yes
Child Support Mediation,"Childcare, Medical, and Other Child Expense Mediation",Extracurricular and Unreimbursed Expense Mediation,N/A — on-hub only,N/A — no outbound destination required,Keep as-is,No,"Keep this topic on the parent hub. If the live design makes it look clickable, remove the external-link treatment rather than forcing a weak destination.",N/A — no outbound destination required,N/A — URL decisions stay in Stage 3,The approved structure treats this as on-hub information. An outbound page is optional only when a later destination clearly earns the link.,Yes
Child Support Mediation,"Child Support Modifications, Arrears, and Enforcement",Child Support Review and Adjustment Mediation,N/A — on-hub only,N/A — no outbound destination required,Keep as-is,No,"Keep this topic on the parent hub. If the live design makes it look clickable, remove the external-link treatment rather than forcing a weak destination.",N/A — no outbound destination required,N/A — URL decisions stay in Stage 3,The approved structure treats this as on-hub information. An outbound page is optional only when a later destination clearly earns the link.,Yes
Child Support Mediation,"Child Support Modifications, Arrears, and Enforcement",Child Support Arrears Discussion in Mediation,N/A — on-hub only,N/A — no outbound destination required,Keep as-is,No,"Keep this topic on the parent hub. If the live design makes it look clickable, remove the external-link treatment rather than forcing a weak destination.",N/A — no outbound destination required,N/A — URL decisions stay in Stage 3,The approved structure treats this as on-hub information. An outbound page is optional only when a later destination clearly earns the link.,Yes
Child Support Mediation,"Child Support Modifications, Arrears, and Enforcement",When Child Support Ends in Arizona,N/A — on-hub only,N/A — no outbound destination required,Keep as-is,No,"Keep this topic on the parent hub. If the live design makes it look clickable, remove the external-link treatment rather than forcing a weak destination.",N/A — no outbound destination required,N/A — URL decisions stay in Stage 3,The approved structure treats this as on-hub information. An outbound page is optional only when a later destination clearly earns the link.,Yes
Child Support Mediation,Related Mediation Services,Divorce Mediation (cross-hub card),Full,https://auritmediation.com/divorce-mediation/,Keep as-is,No,"Keep the direct destination, but change the clickable card label to the exact final destination title (“Divorce Mediation in Arizona”) and verify the canonical URL before retaining it.",N/A — existing link not map-approved,N/A — URL decisions stay in Stage 3,The destination is the direct service page for this related-service card. The topic fits; the remaining issue is exact destination-title anchoring and Link-In verification.,Yes
Child Support Mediation,Related Mediation Services,Child Custody Mediation (cross-hub card),Full,https://auritmediation.com/child-custody-mediation/,Keep as-is,No,"Keep the direct destination, but change the clickable card label to the exact final destination title (“Child Custody Mediation in Arizona”) and verify the canonical URL before retaining it.",N/A — existing link not map-approved,N/A — URL decisions stay in Stage 3,The destination is the direct service page for this related-service card. The topic fits; the remaining issue is exact destination-title anchoring and Link-In verification.,Yes
Child Support Mediation,Related Mediation Services,Parenting Plan Mediation (cross-hub card),Full,https://auritmediation.com/parenting-plan-mediation/,Keep as-is,No,"Keep the direct destination, but change the clickable card label to the exact final destination title (“Parenting Plan Mediation in Arizona”) and verify the canonical URL before retaining it.",N/A — existing link not map-approved,N/A — URL decisions stay in Stage 3,The destination is the direct service page for this related-service card. The topic fits; the remaining issue is exact destination-title anchoring and Link-In verification.,Yes
Child Support Mediation,Related Mediation Services,Post-Decree Mediation (cross-hub card),Full,https://auritmediation.com/post-decree-mediation/,Keep as-is,No,"Keep the direct destination, but change the clickable card label to the exact final destination title (“Post-Decree Mediation in Arizona”) and verify the canonical URL before retaining it.",N/A — existing link not map-approved,N/A — URL decisions stay in Stage 3,The destination is the direct service page for this related-service card. The topic fits; the remaining issue is exact destination-title anchoring and Link-In verification.,Yes
Child Support Mediation,Related Mediation Services,Pricing (cross-hub card),Full,https://auritmediation.com/pricing/,Keep as-is,No,"Keep the direct destination, but change the clickable card label to the exact final destination title (“Divorce Mediation Pricing”) and verify the canonical URL before retaining it.",N/A — existing link not map-approved,N/A — URL decisions stay in Stage 3,The destination is the direct service page for this related-service card. The topic fits; the remaining issue is exact destination-title anchoring and Link-In verification.,Yes
Child Support Mediation,Related Mediation Services,How Mediation Works (cross-hub card),Full,https://auritmediation.com/how-mediation-works/,Keep as-is,No,"Keep the direct destination, but change the clickable card label to the exact final destination title (“How Divorce Mediation Works”) and verify the canonical URL before retaining it.",N/A — existing link not map-approved,N/A — URL decisions stay in Stage 3,The destination is the direct service page for this related-service card. The topic fits; the remaining issue is exact destination-title anchoring and Link-In verification.,Yes
