
Hub,H2 / Section,Page or Asset,Coverage,Best Current Live URL,Action,Optimize?,What to Change,Final URL,Old URL(s) to Redirect,Why This URL,Live Card Exists?
Spousal Maintenance Mediation,Types and Duration of Spousal Maintenance in Arizona,Arizona Spousal Maintenance Guidelines in Mediation,N/A — on-hub only,N/A — no outbound destination required,Keep as-is,No,"Keep this topic on the parent hub. If the live design makes it look clickable, remove the external-link treatment rather than forcing a weak destination.",N/A — no outbound destination required,N/A — URL decisions stay in Stage 3,The approved structure treats this as on-hub information. An outbound page is optional only when a later destination clearly earns the link.,Yes
Spousal Maintenance Mediation,Types and Duration of Spousal Maintenance in Arizona,Short-Term Marriage Maintenance Mediation,N/A — on-hub only,N/A — no outbound destination required,Keep as-is,No,"Keep this topic on the parent hub. If the live design makes it look clickable, remove the external-link treatment rather than forcing a weak destination.",N/A — no outbound destination required,N/A — URL decisions stay in Stage 3,The approved structure treats this as on-hub information. An outbound page is optional only when a later destination clearly earns the link.,Yes
Spousal Maintenance Mediation,Types and Duration of Spousal Maintenance in Arizona,Rehabilitative Spousal Maintenance Mediation,N/A — on-hub only,N/A — no outbound destination required,Keep as-is,No,"Keep this topic on the parent hub. If the live design makes it look clickable, remove the external-link treatment rather than forcing a weak destination.",N/A — no outbound destination required,N/A — URL decisions stay in Stage 3,The approved structure treats this as on-hub information. An outbound page is optional only when a later destination clearly earns the link.,Yes
Spousal Maintenance Mediation,Types and Duration of Spousal Maintenance in Arizona,Lump-Sum Spousal Maintenance in Mediation,N/A — on-hub only,N/A — no outbound destination required,Keep as-is,No,"Keep this topic on the parent hub. If the live design makes it look clickable, remove the external-link treatment rather than forcing a weak destination.",N/A — no outbound destination required,N/A — URL decisions stay in Stage 3,The approved structure treats this as on-hub information. An outbound page is optional only when a later destination clearly earns the link.,Yes
Spousal Maintenance Mediation,How Spousal Maintenance Is Calculated: Income and Tax Factors,Imputing Income for Spousal Maintenance,N/A — on-hub only,N/A — no outbound destination required,Keep as-is,No,"Keep this topic on the parent hub. If the live design makes it look clickable, remove the external-link treatment rather than forcing a weak destination.",N/A — no outbound destination required,N/A — URL decisions stay in Stage 3,The approved structure treats this as on-hub information. An outbound page is optional only when a later destination clearly earns the link.,Yes
Spousal Maintenance Mediation,How Spousal Maintenance Is Calculated: Income and Tax Factors,Tax Treatment of Spousal Maintenance,N/A — on-hub only,N/A — no outbound destination required,Keep as-is,No,"Keep this topic on the parent hub. If the live design makes it look clickable, remove the external-link treatment rather than forcing a weak destination.",N/A — no outbound destination required,N/A — URL decisions stay in Stage 3,The approved structure treats this as on-hub information. An outbound page is optional only when a later destination clearly earns the link.,Yes
Spousal Maintenance Mediation,Spousal Maintenance for Different Marriage and Life Circumstances,Spousal Maintenance vs Child Support,N/A — on-hub only,https://auritmediation.com/child-support-mediation/,Keep as-is,No,"Keep this topic on the hub. Retain its existing contextual link only if a separate Link-In check confirms the direct canonical destination, evergreen scope, and return link to this parent hub; otherwise remove the link treatment rather than forcing a substitute.",N/A — existing contextual link; no URL decision in this task,N/A — URL decisions stay in Stage 3,"This is an existing contextual link inside an on-hub topic, not a new H3-card or supporting-text placement. It remains visible for implementation review without turning the topic itself into a required expansion page.",Yes
Spousal Maintenance Mediation,Spousal Maintenance for Different Marriage and Life Circumstances,Can a Prenup Waive Spousal Maintenance?,N/A — on-hub only,N/A — no outbound destination required,Keep as-is,No,"Keep this topic on the parent hub. If the live design makes it look clickable, remove the external-link treatment rather than forcing a weak destination.",N/A — no outbound destination required,N/A — URL decisions stay in Stage 3,The approved structure treats this as on-hub information. An outbound page is optional only when a later destination clearly earns the link.,Yes
Spousal Maintenance Mediation,"Modifying, Reviewing, or Ending Spousal Maintenance",Spousal Maintenance Termination or Reduction Mediation,N/A — on-hub only,N/A — no outbound destination required,Keep as-is,No,"Keep this topic on the parent hub. If the live design makes it look clickable, remove the external-link treatment rather than forcing a weak destination.",N/A — no outbound destination required,N/A — URL decisions stay in Stage 3,The approved structure treats this as on-hub information. An outbound page is optional only when a later destination clearly earns the link.,Yes
Spousal Maintenance Mediation,"Modifying, Reviewing, or Ending Spousal Maintenance",Spousal Maintenance and Cohabitation Discussions,N/A — on-hub only,N/A — no outbound destination required,Keep as-is,No,"Keep this topic on the parent hub. If the live design makes it look clickable, remove the external-link treatment rather than forcing a weak destination.",N/A — no outbound destination required,N/A — URL decisions stay in Stage 3,The approved structure treats this as on-hub information. An outbound page is optional only when a later destination clearly earns the link.,Yes
Spousal Maintenance Mediation,"Modifying, Reviewing, or Ending Spousal Maintenance",Spousal Maintenance Review After Divorce,N/A — on-hub only,N/A — no outbound destination required,Keep as-is,No,"Keep this topic on the parent hub. If the live design makes it look clickable, remove the external-link treatment rather than forcing a weak destination.",N/A — no outbound destination required,N/A — URL decisions stay in Stage 3,The approved structure treats this as on-hub information. An outbound page is optional only when a later destination clearly earns the link.,Yes
Spousal Maintenance Mediation,How Aurit Supports Your Divorce,Child Custody (cross-hub card),Full,https://auritmediation.com/child-custody-mediation/,Keep as-is,No,"Keep the direct destination, but change the clickable card label to the exact final destination title (“Child Custody Mediation in Arizona”) and verify the canonical URL before retaining it.",N/A — existing link not map-approved,N/A — URL decisions stay in Stage 3,The destination is the direct service page for this related-service card. The topic fits; the remaining issue is exact destination-title anchoring and Link-In verification.,Yes
Spousal Maintenance Mediation,How Aurit Supports Your Divorce,Parenting Plans (cross-hub card),Full,https://auritmediation.com/parenting-plan-mediation/,Keep as-is,No,"Keep the direct destination, but change the clickable card label to the exact final destination title (“Parenting Plan Mediation in Arizona”) and verify the canonical URL before retaining it.",N/A — existing link not map-approved,N/A — URL decisions stay in Stage 3,The destination is the direct service page for this related-service card. The topic fits; the remaining issue is exact destination-title anchoring and Link-In verification.,Yes
Spousal Maintenance Mediation,How Aurit Supports Your Divorce,Child Support (cross-hub card),Full,https://auritmediation.com/child-support-mediation/,Keep as-is,No,"Keep the direct destination, but change the clickable card label to the exact final destination title (“Child Support Mediation in Arizona”) and verify the canonical URL before retaining it.",N/A — existing link not map-approved,N/A — URL decisions stay in Stage 3,The destination is the direct service page for this related-service card. The topic fits; the remaining issue is exact destination-title anchoring and Link-In verification.,Yes
Spousal Maintenance Mediation,How Aurit Supports Your Divorce,Property Division (cross-hub card),Full,https://auritmediation.com/property-division-mediation/,Keep as-is,No,"Keep the direct destination, but change the clickable card label to the exact final destination title (“Property Division Mediation in Arizona”) and verify the canonical URL before retaining it.",N/A — existing link not map-approved,N/A — URL decisions stay in Stage 3,The destination is the direct service page for this related-service card. The topic fits; the remaining issue is exact destination-title anchoring and Link-In verification.,Yes
Spousal Maintenance Mediation,How Aurit Supports Your Divorce,Post-Decree Changes (cross-hub card),Full,https://auritmediation.com/post-decree-mediation/,Keep as-is,No,"Keep the direct destination, but change the clickable card label to the exact final destination title (“Post-Decree Mediation in Arizona”) and verify the canonical URL before retaining it.",N/A — existing link not map-approved,N/A — URL decisions stay in Stage 3,The destination is the direct service page for this related-service card. The topic fits; the remaining issue is exact destination-title anchoring and Link-In verification.,Yes
Spousal Maintenance Mediation,How Aurit Supports Your Divorce,Virtual Divorce Mediation (cross-hub card),Partial,https://auritmediation.com/online-divorce-mediation-arizona-out-of-state/,Keep as-is,No,Replace the old redirecting href with the final direct URL only if the card is narrowed to the out-of-state online-mediation intent. Otherwise keep the card unlinked until a general virtual-mediation destination exists.,N/A — existing link not map-approved,N/A — URL decisions stay in Stage 3,"The final page, “Benefits of Online Mediation for Out-of-State Arizona Divorces,” serves only out-of-state Arizona divorces. That is related to virtual mediation but too narrow for a general virtual-divorce card.",Yes
