
Hub,H2 / Section,Page or Asset,Coverage,Best Current Live URL,Action,Optimize?,What to Change,Why This URL,Live Card Exists?,Live Link Status,QA Verdict
Divorce Mediation,How the Divorce Mediation Process Works,Mediation for Self-Represented Couples,No Match,No suitable live URL,Create new,No,Flag “Need a page built” for the later content stage. Keep this required card visible but unlinked; do not assign or propose a URL in this task.,"No current live page directly serves the self-represented couple workflow. Using the parent hub, a broad guide, or an adjacent article would make this card look more specific than its destination.",No,N/A,Hold as placeholder — no suitable live destination
Divorce Mediation,Divorce Mediation for Parents and Families,Divorce Mediation With Children,Partial,https://auritmediation.com/protecting-children-divorce-mediation/,Keep & optimize,Yes,"Keep this page as a content-improvement candidate. Expand it so it clearly owns the complete parent-and-children mediation path, align the title/H1 with the final card title, add a contextual link back to Divorce Mediation, and rerun Link-In before activating the card.","Its live title, “Protecting Children During Divorce,” is related, but it does not clearly own the complete parent-and-children mediation path. It is useful for optimization, not a safe destination for this card today.",Yes,Not linked,Hold as placeholder — intent only partial
Divorce Mediation,Divorce Mediation for Parents and Families,Arizona Divorce Mediation for Parents Guide,No Match,No suitable live URL,Create new,No,Flag “Need a page built” for the later content stage. Keep this required card visible but unlinked; do not assign or propose a URL in this task.,"No current live page directly serves a broad parent-focused Arizona mediation guide; the current child-protection page is too narrow. Using the parent hub, a broad guide, or an adjacent article would make this card look more specific than its destination.",No,N/A,Hold as placeholder — no suitable live destination
Divorce Mediation,Divorce Mediation for Parents and Families,Divorce and Children Resource Hub,No Match,No suitable live URL,Create new,No,Flag “Need a page built” for the later content stage. Keep this required card visible but unlinked; do not assign or propose a URL in this task.,"No current live page directly serves a resource-hub experience for parents and children. Using the parent hub, a broad guide, or an adjacent article would make this card look more specific than its destination.",No,N/A,Hold as placeholder — no suitable live destination
Divorce Mediation,Divorce Mediation for Complex and Unique Situations,High-Asset Divorce Mediation,Partial,https://auritmediation.com/complex-asset-division-arizona-mediation/,Create new,No,"Keep this page as a content-improvement candidate. Expand it so it clearly owns a high-asset divorce mediation service, align the title/H1 with the final card title, add a contextual link back to Divorce Mediation, and rerun Link-In before activating the card.","Its live title, “Complex Asset Division Through Arizona Mediation,” is related, but it does not clearly own a high-asset divorce mediation service. It is useful for optimization, not a safe destination for this card today.",Yes,LINKED - WRONG DESTINATION,Hold as placeholder — intent only partial
Divorce Mediation,Divorce Mediation for Complex and Unique Situations,Amicable Divorce Mediation,Partial,https://auritmediation.com/amicable-divorce/,Keep & optimize,Yes,"Keep this page as a content-improvement candidate. Expand it so it clearly owns an amicable divorce mediation service, align the title/H1 with the final card title, add a contextual link back to Divorce Mediation, and rerun Link-In before activating the card.","Its live title, “10 Helpful Tips for an Amicable Divorce,” is related, but it does not clearly own an amicable divorce mediation service. It is useful for optimization, not a safe destination for this card today.",No,N/A,Hold as placeholder — intent only partial
Divorce Mediation,Divorce Mediation for Complex and Unique Situations,Uncontested Divorce Mediation,Full,https://auritmediation.com/divorce-mediation/uncontested-divorce-mediation/,Keep & optimize,Yes,"Keep this page, then align its title/H1 with “Uncontested Divorce Mediation” where needed, confirm it is self-canonical and evergreen, add a contextual link back to Divorce Mediation, and rerun Link-In before activating the card.","Its live title, “Uncontested Divorce Mediation in Arizona,” directly serves uncontested divorce mediation. It is the strongest current candidate, but it is not approved until title, canonical, evergreen, and parent-return-link checks pass.",Yes (under different H2 live),Not linked (link currently misplaced on row 19’s card),Hold as placeholder — Link-In verification required
Divorce Mediation,Divorce Mediation for Complex and Unique Situations,Gray Divorce Mediation,Partial,https://auritmediation.com/gray-divorce/,Keep & optimize,Yes,"Keep this page as a content-improvement candidate. Expand it so it clearly owns gray-divorce mediation, align the title/H1 with the final card title, add a contextual link back to Divorce Mediation, and rerun Link-In before activating the card.","Its live title, “What is Gray Divorce & Why it is on the Rise,” is related, but it does not clearly own gray-divorce mediation. It is useful for optimization, not a safe destination for this card today.",No,N/A,Hold as placeholder — intent only partial
Divorce Mediation,Divorce Mediation for Complex and Unique Situations,Gray Divorce Financial Checklist,No Match,No suitable live URL,Create new,No,Flag “Need a page built” for the later content stage. Keep this required card visible but unlinked; do not assign or propose a URL in this task.,"No current live page directly serves a gray-divorce financial checklist. Using the parent hub, a broad guide, or an adjacent article would make this card look more specific than its destination.",No,N/A,Hold as placeholder — no suitable live destination
Divorce Mediation,Divorce Mediation for Complex and Unique Situations,Same-Sex Divorce Mediation,No Match,No suitable live URL,Create new,No,Flag “Need a page built” for the later content stage. Keep this required card visible but unlinked; do not assign or propose a URL in this task.,"No current live page directly serves same-sex divorce mediation. Using the parent hub, a broad guide, or an adjacent article would make this card look more specific than its destination.",No,N/A,Hold as placeholder — no suitable live destination
Divorce Mediation,Divorce Mediation for Complex and Unique Situations,Military Divorce Mediation,Partial,https://auritmediation.com/the-complete-guide-to-military-divorce/,Keep & optimize,Yes,"Keep this page as a content-improvement candidate. Expand it so it clearly owns military divorce mediation, align the title/H1 with the final card title, add a contextual link back to Divorce Mediation, and rerun Link-In before activating the card.","Its live title, “Military Divorce – The complete guide,” is related, but it does not clearly own military divorce mediation. It is useful for optimization, not a safe destination for this card today.",No,N/A,Hold as placeholder — intent only partial
Divorce Mediation,"Arizona Divorce Mediation Guides, Checklists, and FAQs",Arizona Divorce Mediation Guide,Full,https://auritmediation.com/divorce-mediation-guide/,Keep & optimize,Yes,"Keep this page, then align its title/H1 with “Arizona Divorce Mediation Guide” where needed, confirm it is self-canonical and evergreen, add a contextual link back to Divorce Mediation, and rerun Link-In before activating the card.","Its live title, “Divorce Mediation Guide,” directly serves a broad Arizona divorce mediation guide. It is the strongest current candidate, but it is not approved until title, canonical, evergreen, and parent-return-link checks pass.",Yes,Not linked,Hold as placeholder — Link-In verification required
Divorce Mediation,"Arizona Divorce Mediation Guides, Checklists, and FAQs",Questions to Ask a Divorce Mediator,No Match,No suitable live URL,Create new,No,Flag “Need a page built” for the later content stage. Keep this required card visible but unlinked; do not assign or propose a URL in this task.,"No current live page directly serves a neutral questions-to-ask-a-mediator resource. Using the parent hub, a broad guide, or an adjacent article would make this card look more specific than its destination.",No,N/A,Hold as placeholder — no suitable live destination
Divorce Mediation,"Arizona Divorce Mediation Guides, Checklists, and FAQs",Divorce Mediation FAQ,Full,https://auritmediation.com/frequently-asked-questions/,Keep & optimize,Yes,"Keep this page, then align its title/H1 with “Divorce Mediation FAQ” where needed, confirm it is self-canonical and evergreen, add a contextual link back to Divorce Mediation, and rerun Link-In before activating the card.","Its live title, “Frequently Asked Questions | %sitename%,” directly serves a divorce mediation FAQ. It is the strongest current candidate, but it is not approved until title, canonical, evergreen, and parent-return-link checks pass.",No,N/A,Hold as placeholder — Link-In verification required
Divorce Mediation,"Arizona Divorce Mediation Guides, Checklists, and FAQs",Glossary of Arizona Divorce Mediation Terms,No Match,No suitable live URL,Create new,No,Flag “Need a page built” for the later content stage. Keep this required card visible but unlinked; do not assign or propose a URL in this task.,"No current live page directly serves a mediation-terms glossary. Using the parent hub, a broad guide, or an adjacent article would make this card look more specific than its destination.",No,N/A,Hold as placeholder — no suitable live destination
Divorce Mediation,How Mediation Fits Different Types of Divorce,Legal Separation Mediation,N/A — on-hub only,N/A — no outbound destination required,Keep as-is,No,"Keep this topic on the parent hub. If the live design makes it look clickable, remove the external-link treatment rather than forcing a weak destination.",The approved structure treats this as on-hub information. An outbound page is optional only when a later destination clearly earns the link.,Yes,No outbound link required,No link required — on-hub topic
Divorce Mediation,The Issues Your Divorce May Need to Resolve,Child Custody (cross-hub card),Full,https://auritmediation.com/child-custody-mediation/,Keep as-is,No,"Keep the direct destination, but change the clickable card label to the exact final destination title (“Child Custody Mediation in Arizona”) and verify the canonical URL before retaining it.",The destination is the direct service page for this related-service card. The topic fits; the remaining issue is exact destination-title anchoring and Link-In verification.,Yes,Existing live link — label/canonical QA required,Existing live link — remediation required before map approval
Divorce Mediation,The Issues Your Divorce May Need to Resolve,Parenting Plans (cross-hub card),Full,https://auritmediation.com/parenting-plan-mediation/,Keep as-is,No,"Keep the direct destination, but change the clickable card label to the exact final destination title (“Parenting Plan Mediation in Arizona”) and verify the canonical URL before retaining it.",The destination is the direct service page for this related-service card. The topic fits; the remaining issue is exact destination-title anchoring and Link-In verification.,Yes,Existing live link — label/canonical QA required,Existing live link — remediation required before map approval
Divorce Mediation,The Issues Your Divorce May Need to Resolve,Child Support (cross-hub card),Full,https://auritmediation.com/child-support-mediation/,Keep as-is,No,"Keep the direct destination, but change the clickable card label to the exact final destination title (“Child Support Mediation in Arizona”) and verify the canonical URL before retaining it.",The destination is the direct service page for this related-service card. The topic fits; the remaining issue is exact destination-title anchoring and Link-In verification.,Yes,Existing live link — label/canonical QA required,Existing live link — remediation required before map approval
Divorce Mediation,The Issues Your Divorce May Need to Resolve,Spousal Maintenance (cross-hub card),Full,https://auritmediation.com/spousal-support-alimony-mediation/,Keep as-is,No,"Keep the direct destination, but change the clickable card label to the exact final destination title (“Spousal Support (Alimony) Mediation in Arizona”) and verify the canonical URL before retaining it.",The destination is the direct service page for this related-service card. The topic fits; the remaining issue is exact destination-title anchoring and Link-In verification.,Yes,Existing live link — label/canonical QA required,Existing live link — remediation required before map approval
Divorce Mediation,The Issues Your Divorce May Need to Resolve,Property & Debt (cross-hub card),Full,https://auritmediation.com/property-division-mediation/,Keep as-is,No,"Keep the direct destination, but change the clickable card label to the exact final destination title (“Property Division Mediation in Arizona”) and verify the canonical URL before retaining it.",The destination is the direct service page for this related-service card. The topic fits; the remaining issue is exact destination-title anchoring and Link-In verification.,Yes,Existing live link — label/canonical QA required,Existing live link — remediation required before map approval
Divorce Mediation,The Issues Your Divorce May Need to Resolve,Post-Decree Changes (cross-hub card),Full,https://auritmediation.com/post-decree-mediation/,Keep as-is,No,"Keep the direct destination, but change the clickable card label to the exact final destination title (“Post-Decree Mediation in Arizona”) and verify the canonical URL before retaining it.",The destination is the direct service page for this related-service card. The topic fits; the remaining issue is exact destination-title anchoring and Link-In verification.,Yes,Existing live link — label/canonical QA required,Existing live link — remediation required before map approval
